,Country/Territory,Region,IMF_estimate,IMF_year,United_Nations_estimate,United_Nations_year,World_Bank_estimate,World_Bank_year
94,Cameroon,Africa,"44,893",2021,"38,861",2019,"39,802","2020
"
95,Tunisia,Africa,"44,265",2021,"38,797",2019,"39,236","2020
"
96,Syria,Asia,"60,043",2010,"20,379",2019,"40,405","2007
"
97,Bahrain,Asia,"37,503",2021,"38,574",2019,"38,475","2019
"
98,Paraguay,Americas,"37,836",2021,"38,086",2019,"35,304","2020
"
99,Uganda,Africa,"41,271",2021,"32,609",2019,"37,372","2020
"
100,Libya,Africa,"24,267",2021,"32,600",2019,"25,418","2020
"
101,Latvia,Europe,"37,720",2021,"34,102",2019,"33,505","2020
"
102,Sudan,Africa,"35,827",2021,"34,895",2019,"26,111","2020
"
103,Estonia,Europe,"35,187",2021,"31,471",2019,"31,030","2020
"
104,Nepal,Asia,"36,084",2021,"30,714",2019,"33,657","2020
"
105,Cambodia,Asia,"27,239",2021,"27,097",2019,"25,291","2020
"
106,El Salvador,Americas,"26,277",2021,"27,022",2019,"24,639","2020
"
107,Honduras,Americas,"26,161",2021,"25,095",2019,"23,828","2020
"
108,Cyprus,Asia,"26,479",2021,"24,565",[n 10]2019,"23,804","2020
"
109,Senegal,Africa,"27,927",2021,"23,664",2019,"24,911","2020
"
110,Papua New Guinea,Oceania,"24,536",2021,"24,969",2019,"23,592","2020
"
111,Yemen,Asia,"25,095",2021,"24,935",2019,"23,486","2018
"
112,Iceland,Europe,"24,155",2021,"24,188",2019,"21,715","2020
"
113,Trinidad and Tobago,Americas,"22,161",2021,"23,208",2019,"21,530","2020
"
114,Zimbabwe,Africa,"26,085",2021,"21,440",2019,"16,769","2020
"
115,Zambia,Africa,"18,955",2021,"23,085",2019,"19,320","2020
"
116,Bosnia and Herzegovina,Europe,"21,953",2021,"20,164",2019,"19,788","2020
"
117,Laos,Asia,"20,440",2021,"18,822",2019,"19,136","2020
"
118,Afghanistan,Asia,"19,938",2021,"17,876",2019,"19,807","2020
"
119,Botswana,Africa,"18,726",2021,"18,340",2019,"15,782","2020
"
120,Mali,Africa,"19,912",2021,"17,432",2019,"17,394","2020
"
121,Gabon,Africa,"18,362",2021,"16,887",2019,"15,593","2020
"
122,Georgia,Asia,"16,163",2021,"17,742",2019,"15,892","[n 11]2020
"
123,Burkina Faso,Africa,"18,853",2021,"15,990",2019,"17,369","2020
"
124,North Korea,Asia,N/A,N/A,"16,331",2019,"N/A
",N/A
125,Palestine,Asia,"16,481",[n 12]2021,"17,058",[n 12]2019,"15,561","2020
"
126,Albania,Europe,"17,138",2021,"15,278",2019,"14,800","2020
"
127,Jamaica,Americas,"14,600",2021,"15,830",2019,"13,812","2020
"
128,Malta,Europe,"16,476",2021,"14,863",2019,"14,647","2020
"
129,Benin,Africa,"17,327",2021,"14,403",2019,"15,652","2020
"
